yellow 	   colour ,  color   | 0.0 | .1 | 2
stab 	   knife ,  injure ,  wound ,  jab ,  prod ,  poke ,  dig   | 0.0 | .1 | 8
parole 	   free ,  release ,  loose   | 0.0 | .1 | 3
blog 	   communicate   | 0.0 | .1 | 1
intern 	   confine ,  detain ,  work   | 0.0 | .1 | 3
round 	   travel ,  go ,  move ,  shape ,  form ,  circle ,  ring ,  hold ,  bear ,  carry ,  contain ,  pronounce ,  articulate ,  enunciate ,  say ,  attack ,  assail ,  assault ,  knock ,  criticize ,  criticise^ ,  polish ,  perfect ,  hone ,  change ,  alter ,  modify ,  gain ,  whip ,  shout ,  rip ,  abuse ,  claw ,  rubbish ,  cloister ,  surround ,  purse   | 0.0 | .1 | 28
portion 	   assign ,  allot ,  distribute ,  administer ,  deal ,  lot ,  allow ,  appropriate ,  reserve ,  earmark ,  allocate   | 0.0 | .1 | 7
aid 	   help ,  assist ,  support ,  better ,  improve* ,  hasten* ,  ease ,  benefit* ,  care ,  cure ,  facilitate ,  serve ,  expedite ,  alleviate ,  bootstrap ,  attend   | 0.0 | .1 | 6
bestow 	   award ,  present ,  give ,  lend ,  contribute* ,  add ,  bring ,  change ,  alter ,  modify ,  graduate ,  bless   | 0.0 | .1 | 10
jeopardise 	   endanger ,  menace ,  threaten^ ,  imperil ,  peril ,  exist ,  be   | 0.0 | .1 | 7
tremor 	   quake ,  shake ,  agitate   | 0.0 | .1 | 3
swan 	   affirm ,  verify ,  assert ,  aver ,  swear ,  declare ,  roll ,  wander ,  stray ,  roam ,  cast ,  ramble ,  range ,  drift ,  travel ,  go ,  move ,  sweep ,  sail ,  hold ,  assure* ,  protest ,  take ,  tell ,  claim ,  attest   | 0.0 | .1 | 19
teach 	   learn ,  instruct ,  inform ,  accustom ,  ground ,  reward* ,  condition ,  mentor ,  educate ,  drill ,  train ,  enlighten ,  develop ,  prepare ,  reinforce ,  talk ,  coach ,  tutor   | 0.0 | .1 | 4
sway 	   rock ,  shake ,  swing ,  carry ,  persuade ,  influence ,  work ,  move ,  displace ,  roll ,  oscillate ,  lash ,  weave ,  totter   | 0.0 | .1 | 10
collaborate 	   cooperate ,  work   | 0.0 | .1 | 3
better 	   break ,  surpass ,  outgo ,  exceed ,  outdo ,  outperform ,  improve* ,  change ,  alter ,  modify ,  turn ,  mend ,  lift ,  condition ,  surge* ,  raise ,  upgrade ,  educate ,  down ,  enrich ,  enhance ,  repair ,  fix ,  perfect ,  hone ,  recover ,  develop ,  alleviate ,  build ,  restore ,  relieve ,  help ,  reform ,  aid ,  advance ,  refine ,  purify ,  doctor ,  polish ,  convalesce   | 0.0 | .1 | 12
hitch 	   catch ,  attach ,  hobble ,  walk ,  buck ,  jerk ,  move ,  thumb ,  ride ,  connect ,  link ,  tie ,  snag   | 0.0 | .1 | 12
bake 	   cook ,  broil ,  heat ,  fire   | 0.0 | .1 | 3
correct 	   right ,  turn ,  reverse ,  compensate ,  redress ,  change ,  alter ,  modify ,  chastise ,  castigate ,  rebuke ,  rag ,  jaw ,  lambaste ,  balance ,  discipline ,  punish ,  penalize ,  penalise ,  decline ,  slump ,  descend ,  fall ,  adjust ,  set ,  treat ,  tune ,  time ,  match ,  graduate ,  cover ,  remedy ,  fit ,  repair ,  reconcile ,  carry ,  synchronize ,  zero ,  reset ,  flame ,  proportion ,  justify ,  focus ,  temper ,  pressurise ,  regulate ,  coordinate ,  trim ,  align ,  sharpen   | 0.0 | .1 | 31
mop 	   absorb ,  suck ,  draw   | 0.0 | .1 | 3
caricature 	   mock   | 0.0 | .1 | 1
warn 	   inform ,  discourage ,  advise ,  counsel ,  order ,  tell ,  say ,  caution ,  threaten^ ,  alarm ,  alert   | 0.0 | .1 | 8
implement 	   use ,  utilize ,  utilise ,  apply ,  employ ,  enforce ,  compel ,  oblige ,  obligate ,  complete ,  finish ,  execute ,  run ,  adhere   | 0.0 | .1 | 12
disintegrate 	   change ,  alter ,  modify ,  decay ,  crumble ,  run ,  powder ,  crash ,  digest ,  dissolve   | 0.0 | .1 | 4
light 	   illuminate ,  lighten ,  ignite ,  land ,  burn ,  fall ,  return ,  pass ,  descend ,  spotlight ,  reignite ,  kindle ,  floodlight ,  perch ,  alight   | 0.0 | .1 | 12
tip 	   reorient ,  mark ,  fee ,  give ,  gift ,  present ,  topple ,  tumble ,  push ,  force ,  lean ,  tilt ,  angle ,  bend ,  flex ,  walk ,  tap ,  strike ,  advise ,  counsel ,  remove ,  take ,  withdraw ,  list ,  bank ,  pitch ,  heel ,  incline ,  slope ,  weather   | 0.0 | .1 | 23
govern 	   regulate ,  order ,  decide ,  determine ,  control ,  command ,  rule ,  necessitate ,  ask ,  need ,  require ,  take ,  involve ,  demand ,  standardize ,  dictate ,  zone ,  reign ,  district   | 0.0 | .1 | 16
ban 	   forbid ,  prohibit^ ,  veto ,  disallow ,  censor ,  outlaw ,  expel ,  shun   | 0.0 | .1 | 9
interpret 	   construe ,  see ,  understand ,  explain ,  perform ,  execute ,  do ,  represent ,  translate ,  repeat ,  reiterate ,  iterate ,  restate ,  read ,  chart ,  show ,  model ,  take ,  extract ,  misunderstand ,  paint ,  draw ,  portray ,  comment ,  graph ,  gloss ,  scan ,  picture ,  sing ,  deconstruct ,  depict ,  capture ,  elicit ,  map ,  evoke ,  profile   | 0.0 | .1 | 17
ooze 	   seep ,  run ,  flow ,  feed ,  course ,  exude ,  eliminate ,  pass ,  release ,  secrete ,  stream ,  gum ,  distil ,  fume   | 0.0 | .1 | 8
pierce 	   affect ,  impress ,  move ,  strike ,  sound ,  poke ,  bite ,  pick ,  horn ,  punch ,  sting ,  tusk ,  tap ,  stick ,  peg ,  spike ,  riddle ,  lance   | 0.0 | .1 | 5
ignore 	   disregard ,  cut ,  treat ,  handle ,  dismiss ,  discount ,  reject ,  neglect ,  ignore ,  flout ,  discredit ,  scoff ,  slight   | 0.0 | .1 | 11
buckle 	   clasp ,  fix ,  secure ,  collapse^ ,  give ,  break ,  founder ,  heave ,  lift   | 0.0 | .1 | 8
complicate 	   change ,  alter ,  modify ,  refine ,  elaborate ,  involve ,  develop ,  sophisticate   | 0.0 | .1 | 8
reckon 	   think ,  suppose ,  imagine ,  guess ,  expect ,  anticipate ,  calculate ,  estimate ,  figure ,  forecast ,  evaluate ,  judge ,  see ,  consider ,  view ,  regard ,  believe ,  conceive ,  compute ,  reason ,  count ,  bet ,  depend ,  look ,  trust ,  swear ,  rely ,  bank ,  gauge ,  hold ,  survey ,  appreciate* ,  deem ,  value ,  allow ,  divide ,  average ,  resolve ,  extract ,  favour ,  budget ,  receive ,  make ,  process ,  prise ,  identify ,  add ,  abstract ,  suspect ,  respect ,  solve ,  favor ,  extrapolate ,  like ,  include ,  subtract ,  multiply ,  call ,  fraction ,  prize ,  esteem ,  capitalize ,  factor ,  deduct ,  treasure ,  integrate   | 0.0 | .1 | 38
landscape 	   decorate ,  adorn ,  grace* ,  garden   | 0.0 | .1 | 4
water 	   supply ,  provide ,  furnish ,  secrete ,  release ,  fill   | 0.0 | .1 | 6
arm 	   supply ,  provide ,  furnish   | 0.0 | .1 | 3
bike 	   bicycle ,  cycle ,  wheel ,  ride ,  backpedal   | 0.0 | .1 | 4
call 	   name ,  label ,  telephone ,  phone ,  ring ,  order ,  tell ,  say ,  shout ,  cry ,  scream ,  squall ,  utter ,  emit ,  visit ,  meet ,  request ,  bespeak ,  quest ,  indicate ,  postpone ,  table ,  shelve ,  defer ,  read ,  declare ,  hold ,  predict ,  foretell ,  prognosticate ,  anticipate ,  promise ,  guess ,  venture ,  pretend ,  hazard ,  challenge ,  dispute ,  see ,  consider ,  reckon ,  view ,  regard ,  demand ,  exact ,  address ,  stop ,  bid ,  play ,  ask ,  require ,  expect ,  entice ,  lure ,  tempt ,  awaken ,  wake ,  rouse ,  arouse ,  summon ,  lift ,  raise ,  post ,  rename ,  cite ,  rally ,  term ,  whoop ,  recall ,  dub ,  brand ,  forecast ,  double ,  entitle ,  calculate ,  roar ,  title ,  style ,  prophesy ,  mobilise ,  bet ,  hail ,  pipe ,  wail ,  mobilize ,  muster ,  tag   | 0.0 | .1 | 69
calm 	   quiet ,  tranquillise ,  quieten ,  still ,  comfort ,  soothe ,  console ,  solace ,  steady ,  stabilise ,  turn ,  affect ,  gentle ,  pacify ,  placate ,  reassure ,  appease   | 0.0 | .1 | 13
dispel 	   move ,  displace ,  disperse ,  scatter ,  separate ,  divide ,  fire ,  disband ,  shoo ,  frighten   | 0.0 | .1 | 6
war 	   contend ,  fight ,  struggle   | 0.0 | .1 | 3
warm 	   change ,  alter ,  modify   | 0.0 | .1 | 4
inhabit 	   live ,  be ,  occupy ,  camp ,  board ,  people ,  tent ,  neighbour ,  room ,  overrun ,  shack ,  invade ,  neighbor ,  populate ,  tenant   | 0.0 | .1 | 4
dawn 	   click ,  begin ,  start ,  change   | 0.0 | .1 | 4
roof 	   cover ,  slate ,  thatch   | 0.0 | .1 | 1
stagnate 	   be ,  change ,  idle^ ,  slug ,  stagnate ,  loaf ,  moon   | 0.0 | .1 | 6
give 	   yield ,  afford ,  supply ,  provide ,  furnish ,  transfer ,  state ,  say ,  tell ,  pay ,  communicate ,  hold ,  throw ,  have ,  make ,  direct ,  gift ,  present ,  create ,  devote ,  think ,  return ,  generate ,  produce ,  leave ,  establish ,  pass ,  hand ,  reach ,  utter ,  emit ,  sacrifice ,  release ,  relinquish ,  resign^ ,  free ,  dedicate ,  commit ,  use ,  utilize ,  utilise ,  apply ,  employ ,  administer ,  distribute ,  deal ,  lot ,  allot ,  grant ,  move ,  feed ,  ply ,  cater ,  contribute* ,  collapse^ ,  break ,  founder ,  change ,  estimate ,  gauge ,  guess ,  judge ,  execute ,  compensate ,  repair ,  open ,  show ,  perform ,  stretch ,  toast ,  drink ,  pledge ,  salute ,  accord ,  express ,  submit ,  subject ,  lead ,  permit ,  allow ,  let ,  visit ,  impose ,  happen ,  occur ,  accept ,  consent ,  offer ,  proffer ,  sink ,  crop ,  deposit ,  range ,  concede^ ,  extend ,  trust ,  support ,  introduce ,  suck ,  combine ,  confide ,  nurse ,  nourish ,  entrust ,  lease ,  bank ,  loan ,  slump ,  vow ,  implode ,  deliver ,  slip ,  flop ,  pacify ,  award ,  rent ,  quote ,  cede ,  lend ,  breakfast ,  repay ,  tender ,  infect ,  graze ,  treat ,  inject ,  bestow ,  tip ,  buckle ,  surrender ,  lunch ,  spare ,  endow ,  will ,  cast ,  raffle ,  dine ,  corn ,  donate ,  tread ,  heap ,  vest ,  fee   | 0.0 | .1 | 118
climax 	   culminate* ,  end ,  stop ,  finish ,  terminate ,  cease ,  crown ,  top   | 0.0 | .1 | 6
assent 	   accede ,  agree   | 0.0 | .1 | 2
advance 	   progress* ,  travel ,  go ,  move ,  propose ,  suggest ,  advise ,  boost ,  increase ,  promote ,  further ,  encourage* ,  support ,  displace ,  gain ,  win* ,  develop ,  better ,  improve* ,  upgrade ,  raise ,  delegate ,  designate ,  assign ,  lend ,  loan ,  set ,  wax ,  mount ,  climb ,  rise ,  contribute* ,  score* ,  inch ,  spur ,  infringe ,  prefer ,  overhaul ,  edge ,  pass ,  favour ,  hit ,  tally ,  ratchet ,  carry ,  gentle ,  entitle ,  steal ,  overtake ,  lapse ,  string ,  foster ,  help ,  favor ,  leapfrog ,  nose ,  feed ,  forge ,  lead ,  tenure   | 0.0 | .1 | 36
elicit 	   arouse ,  kindle ,  evoke ,  fire ,  raise ,  provoke ,  make ,  create ,  extract ,  interpret ,  construe ,  see ,  deduce ,  deduct ,  derive ,  hurt^ ,  heat ,  ignite ,  anger ,  overwhelm ,  stimulate ,  interest ,  invite ,  draw ,  wake ,  bruise ,  excite ,  overtake ,  overcome ,  offend ,  shake ,  upset ,  shame ,  stir ,  whelm ,  injure ,  spite ,  wound   | 0.0 | .1 | 16
fault 	   blame^ ,  charge ,  accuse   | 0.0 | .1 | 3
beware 	   mind ,  watch   | 0.0 | .1 | 2
quibble 	   hedge ,  elude ,  skirt ,  dodge ,  duck ,  bicker ,  squabble ,  argue^ ,  contend ,  debate ,  fence   | 0.0 | .1 | 11
violate 	   break ,  transgress ,  offend ,  breach ,  touch ,  disturb ,  desecrate ,  outrage ,  assail ,  assault ,  attack ,  rape ,  dishonour ,  spoil ,  plunder ,  destroy ,  ruin ,  infringe ,  conflict ,  intrude ,  blunder ,  sin ,  boob   | 0.0 | .1 | 24
muddle 	   roil ,  rile ,  confuse   | 0.0 | .1 | 3
slice 	   cut ,  hit ,  strike   | 0.0 | .1 | 5
rebate 	   discount ,  cut ,  join   | 0.0 | .1 | 3
begrudge 	   envy ,  desire ,  want   | 0.0 | .1 | 3
bud 	   develop ,  begin ,  start   | 0.0 | .1 | 3
soak 	   plunge ,  surcharge ,  pluck ,  rob ,  hook ,  cheat^ ,  douse ,  charge ,  beat ,  affect ,  drink ,  booze ,  saturate ,  heat ,  brew ,  rack ,  befuddle ,  steep ,  infuse ,  sluice ,  squeeze   | 0.0 | .1 | 14
crew 	   man   | 0.0 | .1 | 1
enlist 	   engage ,  secure ,  draft ,  enroll ,  enter ,  enrol ,  recruit ,  levy ,  raise   | 0.0 | .1 | 7
wage 	   engage ,  contend ,  fight ,  struggle ,  provide ,  offer   | 0.0 | .1 | 4
mount 	   attach ,  wax ,  climb ,  rise ,  increase ,  fix ,  prepare ,  ready ,  set ,  initiate ,  pioneer ,  move ,  lift ,  arise* ,  uprise ,  organize ,  organise ,  devise ,  ride ,  mate ,  pair ,  couple ,  escalade ,  ramp ,  gain ,  scale ,  rerun ,  jump ,  advance   | 0.0 | .1 | 25
bone 	   cram ,  drum ,  swot ,  study ,  take ,  withdraw   | 0.0 | .1 | 6
improvise 	   perform ,  execute ,  do ,  cope ,  contend ,  grapple ,  deal ,  manage   | 0.0 | .1 | 8
restrict 	   curtail ,  curb ,  limit ,  confine ,  control ,  hold ,  contain ,  check ,  moderate ,  restrain ,  bound ,  qualify ,  modify ,  tie ,  classify ,  reduce ,  tighten ,  rein ,  baffle ,  rule ,  scant ,  hamper ,  constrain ,  gate ,  regulate ,  strangle   | 0.0 | .1 | 22
tense 	   strain ,  tighten ,  change ,  alter ,  modify ,  turn ,  affect ,  extend ,  stretch   | 0.0 | .1 | 8
revenge 	   retaliate ,  punish ,  penalize ,  penalise   | 0.0 | .1 | 4
struggle 	   fight ,  try ,  seek ,  attempt ,  essay ,  endeavor ,  endeavour ,  strive ,  scramble ,  skin ,  climb ,  contend ,  struggle ,  battle ,  skirmish ,  feud ,  duel ,  push ,  oppose ,  flounder ,  drive ,  defend ,  spar ,  assail ,  engage ,  labour ,  labor ,  combat ,  attack ,  bandy ,  fence ,  settle ,  war ,  wage ,  box ,  wrestle   | 0.0 | .1 | 14
haggle 	   bargain   | 0.0 | .1 | 1
sluice 	   pour ,  stream ,  douse ,  soak ,  transport ,  draw   | 0.0 | .1 | 6
feature 	   have ,  sport ,  boast ,  feature ,  say ,  burst ,  take ,  combine ,  abound ,  read ,  carry ,  wear ,  bear ,  star ,  pack ,  possess ,  unite   | 0.0 | .1 | 5
grade 	   rate ,  rank ,  range ,  order ,  place ,  evaluate ,  judge ,  level ,  even ,  score* ,  mark ,  measure ,  assess ,  value ,  classify ,  class ,  sort ,  assort ,  separate ,  subordinate ,  downgrade^ ,  upgrade ,  prioritise ,  seed ,  sequence ,  shortlist   | 0.0 | .1 | 20
reassure 	   assure* ,  calm ,  quiet ,  tranquillise ,  quieten ,  still   | 0.0 | .1 | 7
hood 	   cover   | 0.0 | .1 | 1
floss 	   clean   | 0.0 | .1 | 1
hawk 	   peddle ,  vend ,  pitch ,  deal ,  sell ,  trade ,  hunt ,  run   | 0.0 | .1 | 8
stifle 	   strangle ,  muffle ,  suppress ,  subdue ,  conquer ,  curb ,  suffocate ,  choke^ ,  obstruct ,  impede ,  jam ,  block ,  die ,  go ,  exit ,  expire^ ,  pass ,  conk   | 0.0 | .1 | 24
low 	   utter ,  emit   | 0.0 | .1 | 2
validate 	   authorize ,  authorise ,  pass ,  clear ,  confirm ,  corroborate ,  sustain* ,  support ,  affirm ,  change ,  alter ,  modify ,  sign ,  ratify   | 0.0 | .1 | 14
matter 	   count ,  weigh ,  be ,  press   | 0.0 | .1 | 3
see 	   perceive ,  understand ,  realize ,  realise ,  witness ,  find ,  experience ,  undergo ,  visualize ,  visualise ,  project ,  fancy ,  figure ,  picture ,  image ,  imagine ,  envisage ,  consider ,  reckon ,  view ,  regard ,  think ,  believe ,  conceive ,  learn ,  hear ,  discover ,  watch ,  catch ,  determine ,  check ,  meet ,  encounter ,  insure ,  ensure ,  control ,  assure* ,  verify ,  visit ,  call ,  tour ,  attend ,  look ,  care ,  receive ,  invite ,  date ,  associate ,  affiliate ,  assort ,  debate ,  deliberate ,  detect ,  observe ,  notice ,  examine ,  participate ,  accompany ,  bet ,  play ,  interpret ,  construe ,  hold ,  survey ,  feel ,  come ,  slum ,  appreciate* ,  deem ,  know ,  value ,  take ,  scrutinise ,  extract ,  cover ,  favour ,  read ,  suffer ,  make ,  minister ,  misunderstand ,  prise ,  identify ,  behold ,  enjoy* ,  abstract ,  test ,  live ,  tend ,  card ,  scan ,  respect ,  favor ,  expect ,  like ,  include ,  search ,  elicit ,  inspect ,  evoke ,  candle ,  prize ,  esteem ,  capitalize ,  preview ,  glimpse ,  intersect ,  rake ,  treasure ,  endure ,  cinch ,  proof   | 0.0 | .1 | 77
seep 	   ooze ,  run ,  flow ,  feed ,  course   | 0.0 | .1 | 5
yacht 	   boat   | 0.0 | .1 | 1
emphasize 	   stress ,  emphasise ,  punctuate ,  accent ,  accentuate ,  express ,  show ,  underscore* ,  underline ,  background ,  underscore ,  downplay   | 0.0 | .1 | 15
floodlight 	   light ,  illuminate   | 0.0 | .1 | 2
churn 	   stir ,  boil ,  roil ,  move ,  roll ,  seethe   | 0.0 | .1 | 4
neck 	   pet ,  spoon   | 0.0 | .1 | 1
worsen^ 	   decline ,  turn ,  aggravate ,  exacerbate ,  exasperate ,  change ,  alter ,  modify ,  fail^ ,  impoverish^ ,  lose^ ,  irritate ,  suffer ,  slip ,  deprive ,  drop ,  deteriorate ,  tumble   | -1.0 | .1 | 8
quarterback 	   play   | 0.0 | .1 | 1
overplay 	   act ,  play   | 0.0 | .1 | 2
mash 	   squash ,  crush ,  squeeze ,  press ,  butterfly ,  romance ,  talk ,  speak ,  grind ,  crunch ,  fragment ,  stamp ,  mill ,  telescope ,  tread   | 0.0 | .1 | 11
mitigate 	   extenuate ,  apologize ,  apologise ,  excuse ,  justify ,  rationalize ,  decrease^ ,  lessen ,  lighten ,  relieve   | 0.0 | .1 | 8
deliberate 	   consider ,  debate ,  discuss ,  vex ,  see ,  wrestle   | 0.0 | .1 | 5
paragraph 	   divide ,  split ,  separate ,  write ,  pen   | 0.0 | .1 | 7
breathe 	   exist ,  survive ,  live ,  be ,  express ,  utter ,  convey ,  rest ,  pause ,  break ,  emit ,  expel ,  eject ,  release ,  expire^ ,  choke^ ,  bubble ,  sigh ,  yawn ,  inspire ,  hiccup   | 0.0 | .1 | 14
discontent 	   dissatisfy   | 0.0 | .1 | 1
commemorate 	   mark ,  observe ,  celebrate ,  keep ,  remember ,  immortalise ,  record ,  remind   | 0.0 | .1 | 8
probe 	   examine ,  investigate ,  hear ,  inquire ,  try ,  gutter   | 0.0 | .1 | 2
clamor 	   clamour ,  demand ,  express ,  utter ,  compel ,  oblige ,  obligate   | 0.0 | .1 | 8
capitulate 	   surrender   | 0.0 | .1 | 1
judge 	   decide ,  settle ,  resolve ,  evaluate ,  think ,  estimate ,  gauge ,  guess ,  calculate ,  compute ,  reckon ,  figure ,  pronounce ,  label ,  declare ,  try ,  determine ,  hold ,  range ,  fail^ ,  underestimate ,  prove ,  approve ,  value ,  believe ,  consider ,  pass ,  accept ,  find ,  qualify ,  tout ,  attribute ,  essay ,  make ,  stand ,  count ,  order ,  choose ,  forecast ,  assess ,  place ,  rule ,  reject ,  rate ,  test ,  disqualify ,  review ,  anticipate ,  assign ,  expect ,  clear ,  rank ,  referee ,  examine ,  measure ,  give ,  grade ,  put ,  convict ,  set ,  critique ,  umpire ,  conceive   | 0.0 | .1 | 18
fold 	   lace ,  integrate ,  incorporate ,  close^ ,  restrain ,  confine ,  hold ,  change ,  collapse^ ,  corrugate ,  withdraw ,  crisp ,  pinch ,  tuck ,  close ,  cross ,  wrinkle ,  retire ,  crimp   | 0.0 | .1 | 8
sugar 	    | 0.0 | .1 | 0
unleash 	   release ,  relinquish ,  loose   | 0.0 | .1 | 7
clobber 	   batter ,  beat ,  cream ,  bat ,  thrash ,  crush ,  shell ,  vanquish   | 0.0 | .1 | 9
jail 	   imprison ,  lag ,  confine ,  detain   | 0.0 | .1 | 4
export 	   trade ,  merchandise ,  spread ,  distribute ,  smuggle   | 0.0 | .1 | 4
retaliate 	   revenge ,  punish ,  penalize ,  penalise ,  strike ,  hit   | 0.0 | .1 | 6
coast 	   glide   | 0.0 | .1 | 1
field 	   handle ,  palm ,  play ,  answer ,  reply ,  respond ,  choose ,  take ,  select   | 0.0 | .1 | 9
disco 	   dance   | 0.0 | .1 | 1
reawaken 	   awaken ,  wake ,  rouse ,  arouse   | 0.0 | .1 | 4
digitise 	   change ,  alter ,  modify   | 0.0 | .1 | 3
fascinate* 	   intrigue ,  interest ,  grip ,  capture ,  catch ,  captivate* ,  beguile ,  charm ,  entrance ,  enchant ,  attract ,  appeal ,  hold ,  work ,  seize ,  grab   | 1.0 | .1 | 13
pet 	   caress ,  gentle ,  neck   | 0.0 | .1 | 2
blossom 	   bloom ,  flower ,  develop ,  unfold   | 0.0 | .1 | 5
sort 	   screen ,  sieve ,  choose ,  take ,  select ,  classify ,  class ,  separate ,  categorize ,  stamp ,  group ,  refer ,  catalogue ,  number ,  count ,  size ,  grade ,  assort ,  stereotype   | 0.0 | .1 | 9
tame 	   subdue ,  change ,  alter ,  modify ,  moderate ,  domesticate ,  cultivate ,  adapt* ,  accommodate ,  reclaim ,  break   | 0.0 | .1 | 20
visualise 	   visualize ,  watch ,  view ,  see ,  catch ,  imagine ,  envisage ,  project ,  fancy ,  figure ,  picture ,  image ,  change ,  alter ,  modify   | 0.0 | .1 | 21
dismember 	   kill ,  separate ,  divide ,  part   | 0.0 | .1 | 4
federate 	   unify ,  unite ,  merge   | 0.0 | .1 | 5
jot 	   write   | 0.0 | .1 | 1
peddle 	   hawk ,  vend ,  pitch ,  deal ,  sell ,  trade   | 0.0 | .1 | 6
confront 	   face ,  meet ,  encounter ,  play ,  approach ,  present ,  front ,  look ,  oppose ,  undertake ,  match ,  breast ,  tackle   | 0.0 | .1 | 11
rile 	   annoy ,  rag ,  bother ,  irritate ,  gravel ,  vex ,  devil ,  roil ,  agitate ,  disturb ,  beset^ ,  fret ,  chevy ,  harry ,  plague ,  grate ,  muddle ,  get ,  harass ,  provoke ,  hassle   | 0.0 | .1 | 11
put 	   set ,  place ,  pose ,  position ,  lay ,  move ,  displace ,  change ,  alter ,  modify ,  frame ,  cast ,  couch ,  formulate ,  word ,  phrase ,  articulate ,  assign ,  use ,  utilize ,  utilise ,  apply ,  employ ,  invest ,  commit ,  spend ,  expend ,  drop ,  estimate ,  gauge ,  guess ,  judge ,  subject ,  arrange ,  order ,  organize ,  organise ,  replace ,  pile ,  ground ,  deposit ,  shelve ,  ship ,  step ,  lose^ ,  sign ,  cram ,  introduce ,  marshal ,  juxtapose ,  job ,  rest ,  middle ,  plant ,  speculate ,  barrel ,  load ,  fund ,  fix ,  stand ,  synchronize ,  sit ,  pillow ,  seed ,  install ,  bed ,  space ,  lean ,  throw ,  jar ,  settle ,  siphon ,  docket ,  insert ,  park ,  bottle ,  stick ,  seat ,  recess ,  perch ,  shelter ,  intersperse ,  instal ,  bucket ,  poise ,  superimpose   | 0.0 | .1 | 42
tink 	   chink ,  sound ,  go   | 0.0 | .1 | 3
general 	   command   | 0.0 | .1 | 1
suppose 	   say ,  speculate ,  think ,  imagine ,  reckon ,  guess ,  expect ,  anticipate ,  presume ,  suspect ,  develop ,  formulate ,  construct   | 0.0 | .1 | 12
cane 	   flog ,  lambaste ,  beat   | 0.0 | .1 | 3
shame 	   disgrace* ,  dishonour ,  compel ,  oblige ,  obligate ,  arouse ,  elicit ,  kindle ,  evoke ,  fire ,  raise ,  provoke ,  surpass ,  outgo ,  exceed ,  outdo ,  outperform ,  foul^ ,  disgrace ,  defile   | 0.0 | .1 | 17
mouse 	   creep ,  walk ,  manipulate   | 0.0 | .1 | 3
disappear 	   vanish ,  end ,  stop ,  finish ,  terminate ,  cease ,  melt ,  weaken ,  fall ,  go ,  pass ,  fade ,  remove ,  absent ,  die ,  wither ,  clear ,  fleet   | 0.0 | .1 | 15
forestall 	   prevent ,  foreclose^ ,  preclude ,  forbid ,  anticipate ,  foresee ,  counter ,  act ,  move ,  avert ,  save ,  foreclose ,  blockade ,  spoil ,  stop ,  block ,  halt ,  avoid ,  baffle ,  cross ,  obstruct ,  embarrass ,  deflect ,  frustrate   | 0.0 | .1 | 9
bottle 	   store ,  put ,  set ,  place ,  pose ,  position ,  lay   | 0.0 | .1 | 7
sideline 	   bump ,  relegate ,  break   | 0.0 | .1 | 3
characterise 	   mark ,  qualify ,  remember ,  stamp ,  define   | 0.0 | .1 | 3
beard 	    | 0.0 | .1 | 0
declare 	   state ,  say ,  tell ,  announce ,  affirm ,  verify ,  assert ,  aver ,  swan ,  swear ,  hold ,  evaluate ,  judge ,  authorize ,  authorise ,  pass ,  clear ,  play ,  proclaim ,  assure* ,  plead ,  account ,  decree ,  suggest ,  doom ,  label ,  cancel ,  saint ,  pronounce ,  propose ,  sentence ,  condemn ,  promise ,  testify ,  admit ,  attest ,  call ,  advise ,  acknowledge ,  certify ,  bless ,  depose ,  profess ,  hallow   | 0.0 | .1 | 25
nurture 	   foster ,  encourage* ,  raise ,  parent ,  nourish ,  sustain* ,  provide ,  supply ,  ply ,  cater ,  support ,  carry ,  serve ,  cradle ,  fledge ,  patronize   | 0.0 | .1 | 10
uphold 	   continue ,  preserve* ,  keep ,  maintain ,  hold ,  defend ,  support ,  confirm ,  persist ,  sustain* ,  justify ,  resume ,  prolong ,  vindicate   | 0.0 | .1 | 9
vie 	   compete ,  contend ,  touch ,  play ,  match ,  rival ,  race ,  equal ,  run   | 0.0 | .1 | 2
instruct 	   teach ,  learn ,  inform ,  order ,  tell ,  say ,  ground ,  reward* ,  condition ,  mentor ,  educate ,  drill ,  train ,  brief ,  enlighten ,  develop ,  charge ,  prepare ,  reinforce ,  talk ,  direct ,  coach ,  tutor   | 0.0 | .1 | 7
impend 	   be   | 0.0 | .1 | 1
awaken 	   wake ,  rouse ,  arouse ,  change ,  alter ,  modify ,  turn ,  affect ,  impress ,  move ,  strike ,  call ,  reawaken   | 0.0 | .1 | 13
regard 	   see ,  consider ,  reckon ,  view ,  think ,  believe ,  conceive ,  look ,  involve ,  affect ,  refer ,  pertain ,  relate ,  concern ,  touch ,  hold ,  appreciate* ,  deem ,  value ,  favour ,  receive ,  make ,  prise ,  identify ,  implicate ,  abstract ,  respect ,  favor ,  expect ,  like ,  include ,  call ,  prize ,  esteem ,  capitalize ,  treasure   | 0.0 | .1 | 17
fume 	   feel ,  experience ,  smoke ,  emit ,  process ,  treat ,  exude ,  ooze   | 0.0 | .1 | 8
foray 	   plunder ,  strip ,  rifle ,  ransack ,  take   | 0.0 | .1 | 5
background 	   downplay ,  stress ,  emphasize ,  emphasise ,  punctuate ,  accent ,  accentuate   | 0.0 | .1 | 7
erect 	   raise ,  construct ,  build ,  make ,  lift ,  pitch   | 0.0 | .1 | 6
disillusion 	   disappoint   | 0.0 | .1 | 1
